Year,5th,25th,50th,75th,95th,Mean
12.5,354142.29349768267,457753.83195391926,550568.1404768177,667461.9188137727,887425.121496985,580464.9678229447
12.583333333333334,355730.2626041892,460733.5937384478,555392.9669107089,676894.9731285098,902782.233301216,586005.2328102306
12.666666666666666,357700.8164496139,467600.030503598,565815.9332214692,688845.8443390529,912447.7771767708,592781.3439876708
12.75,359454.82325542014,476212.30197142524,566843.9824186454,691150.0036262262,924165.1233333572,597809.840657009
12.833333333333334,361990.17761570524,474924.39319352974,570427.44276852,698096.5564584412,926778.9234381982,604428.755035008
12.916666666666666,361028.2362933143,475735.1371072798,576909.7320271898,707053.5709539246,926453.7941015194,608386.9556561082
13.0,363174.31437641295,478273.3280432787,583307.0343525137,711117.9800213585,936765.2585612717,614072.2220900917
13.083333333333334,365273.8729237972,486478.62295228324,586887.2638948611,720899.7840032383,936247.6790271188,618186.5257760789
13.166666666666666,362299.42019632115,490533.63117790414,587356.6816875262,726607.1749034121,964669.4070420956,625319.4331339156
13.25,366730.4527145765,492037.29546165117,599872.8992895335,734454.6975360224,973864.3636383701,631658.887424566
13.333333333333334,366635.607272531,494174.8380946523,607280.1311865774,749972.8482607178,979162.5031241163,638119.9387828887
13.416666666666666,367933.07011152705,501088.30995947716,607548.8365771883,761747.2891072183,1017257.6867478032,645284.2776162073
13.5,374936.0747704177,504703.05930885964,616337.8724572246,765832.4761664093,1019013.5689905466,650615.062367233
13.583333333333334,371335.22407693043,505911.4273676276,629346.2027292282,777794.8750313775,1036291.3085795826,656376.7011234034
13.666666666666666,378050.9918031274,512410.5258329211,634932.1591054432,776067.3006554721,1034392.2612856278,663324.0570945289
13.75,382522.1700389394,515739.93461470306,638789.6445437903,783330.3395007108,1065682.9168855331,669341.5075694008
13.833333333333334,388839.37880904763,519850.6446293212,641251.8599762567,794778.2437535545,1075976.5143931059,674825.1849785893
13.916666666666666,393820.98862632085,525364.5612835176,648296.655476846,802305.7511274562,1067365.5276964963,679416.4052539279
14.0,390690.49670575256,527587.5949225891,655307.0802145074,802498.4145216054,1068094.6334417234,684189.119144658
14.083333333333334,395367.52583537134,531763.9804714614,658826.1199161027,810902.1893224213,1061561.3753355928,690918.4063373029
14.166666666666666,402521.4641453369,536280.7340976843,668304.8536618745,813381.016958934,1079587.3522665766,696533.519276804
14.25,397360.37423987006,541577.9265634499,666719.1435701486,820166.0739315175,1081647.106090103,701259.9766736355
14.333333333333334,400543.54586915456,550952.4970765341,672330.2664056276,829893.8546693093,1081344.7653216098,708613.6578723072
14.416666666666666,399347.09411677934,545073.8794371779,679961.4920282525,846250.0703678927,1089035.130259184,714603.5452645327
14.5,397953.08044112835,556575.8280427299,684635.704872114,860721.2457306646,1096192.0704511097,720127.0468891538
14.583333333333334,404391.03048701724,557223.5483410964,689946.034600828,848430.8373181141,1122754.1406180137,725953.0922981926
14.666666666666666,408761.43819642987,559326.3561177042,699822.160311291,854887.9612765318,1142255.794003172,730914.0754321499
14.75,420042.02644810337,557175.1767076706,698932.7066460496,865741.8919525677,1167766.2463092695,738249.5468570025
